grade,kanji,word,reading
4,愛,愛,あい
4,案,案内,あんない
4,以,以上,いじょう
4,衣,衣服,いふく
4,位,位,くらい
4,茨,茨城,いばらき
4,印,印,しるし
4,英,英語,えいご
4,栄,栄養,えいよう
4,媛,愛媛,えひめ
4,塩,塩,しお
4,岡,岡山,おかやま
4,億,一億,いちおく
4,加,加える,くわえる
4,果,果物,くだもの
4,貨,貨物,かもつ
4,課,課題,かだい
4,芽,芽,め
4,賀,佐賀,さが
4,改,改める,あらためる
4,械,機械,きかい
4,害,害虫,がいちゅう
4,街,街,まち
4,各,各地,かくち
4,覚,覚える,おぼえる
4,潟,新潟,にいがた
4,完,完成,かんせい
4,官,官,かん
4,管,管理,かんり
4,関,関係,かんけい
4,観,観光,かんこう
4,願,願う,ねがう
4,岐,岐阜,ぎふ
4,希,希望,きぼう
4,季,季節,きせつ
4,旗,旗,はた
4,器,楽器,がっき
4,機,機会,きかい
4,議,会議,かいぎ
4,求,求める,もとめる
4,泣,泣く,なく
4,給,給食,きゅうしょく
4,挙,挙げる,あげる
4,漁,漁業,ぎょぎょう
4,共,共通,きょうつう
4,協,協力,きょうりょく
4,鏡,鏡,かがみ
4,競,競争,きょうそう
4,極,南極,なんきょく
4,熊,熊本,くまもと
4,訓,訓練,くんれん
4,軍,軍隊,ぐんたい
4,郡,郡,ぐん
4,群,群馬,ぐんま
4,径,直径,ちょっけい
4,景,景色,けしき
4,芸,芸術,げいじゅつ
4,欠,欠席,けっせき
4,結,結果,けっか
4,建,建てる,たてる
4,健,健康,けんこう
4,験,実験,じっけん
4,固,固い,かたい
4,功,成功,せいこう
4,好,好き,すき
4,香,香川,かがわ
4,候,天候,てんこう
4,康,健康,けんこう
4,佐,佐賀,さが
4,差,差,さ
4,菜,野菜,やさい
4,最,最も,もっとも
4,埼,埼玉,さいたま
4,材,材料,ざいりょう
4,崎,長崎,ながさき
4,昨,昨日,きのう
4,札,お札,おさつ
4,刷,印刷,いんさつ
4,察,警察,けいさつ
4,参,参加,さんか
4,産,産まれる,うまれる
4,散,散歩,さんぽ
4,残,残る,のこる
4,氏,氏名,しめい
4,司,司会,しかい
4,試,試合,しあい
4,児,児童,じどう
4,治,治る,なおる
4,滋,滋賀,しが
4,辞,辞書,じしょ
4,鹿,鹿児島,かごしま
4,失,失敗,しっぱい
4,借,借りる,かりる
4,種,種類,しゅるい
4,周,周り,まわり
4,祝,お祝い,おいわい
4,順,順番,じゅんばん
4,初,初めて,はじめて
4,松,松,まつ
4,笑,笑う,わらう
4,唱,合唱,がっしょう
4,焼,焼く,やく
4,照,照らす,てらす
4,城,城,しろ
4,縄,沖縄,おきなわ
4,臣,大臣,だいじん
4,信,自信,じしん
4,井,福井,ふくい
4,成,成功,せいこう
4,省,反省,はんせい
4,清,清い,きよい
4,静,静か,しずか
4,席,席,せき
4,積,面積,めんせき
4,折,折る,おる
4,節,季節,きせつ
4,説,説明,せつめい
4,浅,浅い,あさい
4,戦,戦う,たたかう
4,選,選ぶ,えらぶ
4,然,自然,しぜん
4,争,戦争,せんそう
4,倉,倉庫,そうこ
4,巣,巣,す
4,束,約束,やくそく
4,側,右側,みぎがわ
4,続,続く,つづく
4,卒,卒業,そつぎょう
4,孫,孫,まご
4,帯,包帯,ほうたい
4,隊,隊,たい
4,達,友達,ともだち
4,単,簡単,かんたん
4,置,置く,おく
4,仲,仲間,なかま
4,沖,沖縄,おきなわ
4,兆,兆,ちょう
4,低,低い,ひくい
4,底,底,そこ
4,的,目的,もくてき
4,典,辞典,じてん
4,伝,伝える,つたえる
4,徒,生徒,せいと
4,努,努力,どりょく
4,灯,電灯,でんとう
4,働,働く,はたらく
4,特,特に,とくに
4,徳,徳島,とくしま
4,栃,栃木,とちぎ
4,奈,奈良,なら
4,梨,山梨,やまなし
4,熱,熱い,あつい
4,念,記念,きねん
4,敗,失敗,しっぱい
4,梅,梅,うめ
4,博,博物館,はくぶつかん
4,阪,大阪,おおさか
4,飯,ご飯,ごはん
4,飛,飛ぶ,とぶ
4,必,必ず,かならず
4,票,投票,とうひょう
4,標,目標,もくひょう
4,不,不思議,ふしぎ
4,夫,夫,おっと
4,付,付ける,つける
4,府,大阪府,おおさかふ
4,阜,岐阜,ぎふ
4,富,富山,とやま
4,副,副会長,ふくかいちょう
4,兵,兵庫,ひょうご
4,別,別れる,わかれる
4,辺,辺り,あたり
4,変,変わる,かわる
4,便,便利,べんり
4,包,包む,つつむ
4,法,方法,ほうほう
4,望,希望,きぼう
4,牧,牧場,ぼくじょう
4,末,週末,しゅうまつ
4,満,満足,まんぞく
4,未,未来,みらい
4,民,国民,こくみん
4,無,無い,ない
4,約,約束,やくそく
4,勇,勇気,ゆうき
4,要,必要,ひつよう
4,養,栄養,えいよう
4,浴,入浴,にゅうよく
4,利,便利,べんり
4,陸,大陸,たいりく
4,良,良い,よい
4,料,料理,りょうり
4,量,重量,じゅうりょう
4,輪,輪,わ
4,類,種類,しゅるい
4,令,命令,めいれい
4,冷,冷たい,つめたい
4,例,例えば,たとえば
4,連,連れる,つれる
4,老,老人,ろうじん
4,労,苦労,くろう
4,録,記録,きろく
