grade,kanji,word,reading
hiragana,あ,あ,あ
hiragana,い,い,い
hiragana,う,う,う
hiragana,え,え,え
hiragana,お,お,お
hiragana,か,か,か
hiragana,き,き,き
hiragana,く,く,く
hiragana,け,け,け
hiragana,こ,こ,こ
hiragana,さ,さ,さ
hiragana,し,し,し
hiragana,す,す,す
hiragana,せ,せ,せ
hiragana,そ,そ,そ
hiragana,た,た,た
hiragana,ち,ち,ち
hiragana,つ,つ,つ
hiragana,て,て,て
hiragana,と,と,と
hiragana,な,な,な
hiragana,に,に,に
hiragana,ぬ,ぬ,ぬ
hiragana,ね,ね,ね
hiragana,の,の,の
hiragana,は,は,は
hiragana,ひ,ひ,ひ
hiragana,ふ,ふ,ふ
hiragana,へ,へ,へ
hiragana,ほ,ほ,ほ
hiragana,ま,ま,ま
hiragana,み,み,み
hiragana,む,む,む
hiragana,め,め,め
hiragana,も,も,も
hiragana,や,や,や
hiragana,ゆ,ゆ,ゆ
hiragana,よ,よ,よ
hiragana,ら,ら,ら
hiragana,り,り,り
hiragana,る,る,る
hiragana,れ,れ,れ
hiragana,ろ,ろ,ろ
hiragana,わ,わ,わ
hiragana,を,を,お
hiragana,ん,ん,ん
