grade,kanji,word,reading
katakana,ア,ア,あ
katakana,イ,イ,い
katakana,ウ,ウ,う
katakana,エ,エ,え
katakana,オ,オ,お
katakana,カ,カ,か
katakana,キ,キ,き
katakana,ク,ク,く
katakana,ケ,ケ,け
katakana,コ,コ,こ
katakana,サ,サ,さ
katakana,シ,シ,し
katakana,ス,ス,す
katakana,セ,セ,せ
katakana,ソ,ソ,そ
katakana,タ,タ,た
katakana,チ,チ,ち
katakana,ツ,ツ,つ
katakana,テ,テ,て
katakana,ト,ト,と
katakana,ナ,ナ,な
katakana,ニ,ニ,に
katakana,ヌ,ヌ,ぬ
katakana,ネ,ネ,ね
katakana,ノ,ノ,の
katakana,ハ,ハ,は
katakana,ヒ,ヒ,ひ
katakana,フ,フ,ふ
katakana,ヘ,ヘ,へ
katakana,ホ,ホ,ほ
katakana,マ,マ,ま
katakana,ミ,ミ,み
katakana,ム,ム,む
katakana,メ,メ,め
katakana,モ,モ,も
katakana,ヤ,ヤ,や
katakana,ユ,ユ,ゆ
katakana,ヨ,ヨ,よ
katakana,ラ,ラ,ら
katakana,リ,リ,り
katakana,ル,ル,る
katakana,レ,レ,れ
katakana,ロ,ロ,ろ
katakana,ワ,ワ,わ
katakana,ヲ,ヲ,お
katakana,ン,ン,ん
